customer,weight,coord_x,coord_y,id_cust,fid
716,184.5,638861.72591274,5450061.79565943,758,2215
722,69.0,638861.72591274,5420061.79565943,764,2221
728,4414.0,638861.72591274,5390061.79565943,770,2227
740,736.5,643861.72591274,5545061.79565943,786,2264
752,171.5,643861.72591274,5475061.79565943,800,2278
759,17438.5,643861.72591274,5440061.79565943,807,2285
791,2872.0,648861.72591274,5515061.79565943,843,2338
810,112.0,648861.72591274,5410061.79565943,864,2359
820,240.0,648861.72591274,5350061.79565943,876,2371
821,281.5,648861.72591274,5345061.79565943,877,2372
825,36243.5,648861.72591274,5325061.79565943,881,2376
829,166.5,653861.72591274,5570061.79565943,885,2395
865,1178.5,653861.72591274,5375061.79565943,924,2434
878,653.0,658861.72591274,5550061.79565943,941,2467
888,1218.5,658861.72591274,5500061.79565943,951,2477
896,526.0,658861.72591274,5460061.79565943,959,2485
904,976.0,658861.72591274,5420061.79565943,967,2493
906,1182.0,658861.72591274,5410061.79565943,969,2495
910,1023.0,658861.72591274,5390061.79565943,973,2499
911,240.5,658861.72591274,5385061.79565943,974,2500
918,38287.5,658861.72591274,5335061.79565943,984,2510
929,190.5,663861.72591274,5525061.79565943,998,2540
935,3528.5,663861.72591274,5495061.79565943,1004,2546
971,470.5,668861.72591274,5580061.79565943,1040,2597
978,410.5,668861.72591274,5540061.79565943,1048,2605
990,3273.5,668861.72591274,5480061.79565943,1060,2617
998,403.0,668861.72591274,5440061.79565943,1068,2625
1025,1478.5,673861.72591274,5570061.79565943,1095,2667
1028,2244.5,673861.72591274,5555061.79565943,1098,2670
1029,18348.0,673861.72591274,5550061.79565943,1099,2671
1035,132.5,673861.72591274,5520061.79565943,1105,2677
1056,504.0,673861.72591274,5410061.79565943,1127,2699
1058,199.5,673861.72591274,5400061.79565943,1129,2701
1071,16424.5,673861.72591274,5335061.79565943,1142,2714
1074,99.0,678861.72591274,5590061.79565943,1146,2731
1080,7217.0,678861.72591274,5555061.79565943,1153,2738
1083,197.0,678861.72591274,5540061.79565943,1156,2741
1144,339.5,683861.72591274,5490061.79565943,1221,2819
1153,89.0,683861.72591274,5440061.79565943,1231,2829
