customer,weight,coord_x,coord_y,id_cust,fid
626,648.5,628861.72591274,5470061.79565943,662,2075
695,11486.0,633861.72591274,5340061.79565943,733,2169
716,184.5,638861.72591274,5450061.79565943,758,2215
723,68.5,638861.72591274,5415061.79565943,765,2222
728,4414.0,638861.72591274,5390061.79565943,770,2227
740,736.5,643861.72591274,5545061.79565943,786,2264
753,987.5,643861.72591274,5470061.79565943,801,2279
759,17438.5,643861.72591274,5440061.79565943,807,2285
773,3204.5,643861.72591274,5370061.79565943,821,2299
782,1.0,648861.72591274,5570061.79565943,832,2327
786,845.5,648861.72591274,5550061.79565943,836,2331
791,2872.0,648861.72591274,5515061.79565943,843,2338
793,598.5,648861.72591274,5505061.79565943,845,2340
820,240.0,648861.72591274,5350061.79565943,876,2371
825,36243.5,648861.72591274,5325061.79565943,881,2376
855,2580.0,653861.72591274,5425061.79565943,914,2424
865,1178.5,653861.72591274,5375061.79565943,924,2434
874,44472.5,653861.72591274,5325061.79565943,934,2444
886,434.5,658861.72591274,5510061.79565943,949,2475
896,526.0,658861.72591274,5460061.79565943,959,2485
910,1023.0,658861.72591274,5390061.79565943,973,2499
916,44.0,658861.72591274,5355061.79565943,980,2506
918,38287.5,658861.72591274,5335061.79565943,984,2510
919,83.0,663861.72591274,5590061.79565943,985,2527
935,3528.5,663861.72591274,5495061.79565943,1004,2546
946,2056.0,663861.72591274,5440061.79565943,1015,2557
971,470.5,668861.72591274,5580061.79565943,1040,2597
976,942.5,668861.72591274,5550061.79565943,1046,2603
980,1544.0,668861.72591274,5530061.79565943,1050,2607
990,3273.5,668861.72591274,5480061.79565943,1060,2617
1025,1478.5,673861.72591274,5570061.79565943,1095,2667
1030,1838.5,673861.72591274,5545061.79565943,1100,2672
1035,132.5,673861.72591274,5520061.79565943,1105,2677
1056,504.0,673861.72591274,5410061.79565943,1127,2699
1073,10416.5,673861.72591274,5325061.79565943,1144,2716
1074,99.0,678861.72591274,5590061.79565943,1146,2731
1081,8326.5,678861.72591274,5550061.79565943,1154,2739
1104,1593.0,678861.72591274,5435061.79565943,1177,2762
1117,1936.5,678861.72591274,5370061.79565943,1190,2775
1144,339.5,683861.72591274,5490061.79565943,1221,2819
1151,45.0,683861.72591274,5450061.79565943,1229,2827
1163,1506.5,683861.72591274,5390061.79565943,1241,2839
1173,92.5,683861.72591274,5340061.79565943,1251,2849
1195,2845.0,688861.72591274,5475061.79565943,1280,2890
1218,2828.5,688861.72591274,5355061.79565943,1304,2914
1224,2.0,693861.72591274,5590061.79565943,1313,2935
1227,504.5,693861.72591274,5570061.79565943,1317,2939
1233,880.0,693861.72591274,5535061.79565943,1324,2946
1241,10005.5,693861.72591274,5480061.79565943,1335,2957
1247,476.0,693861.72591274,5440061.79565943,1343,2965
1252,195.0,693861.72591274,5410061.79565943,1349,2971
1263,4025.0,693861.72591274,5355061.79565943,1360,2982
1268,6417.5,693861.72591274,5330061.79565943,1365,2987
1269,398.0,698861.72591274,5630061.79565943,1367,2995
