fid,idcar_1km,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,codearondo
"12",CRS3035RES1000mN2221000E4005000,"0","83069",34,17,1.9,7.9,1,12,0,1299883.1,2117.1,1.9,15.1,0.9,12,1,3.1,0,0,0,0,0,3,4,1.9,5,7.1,5.9,7.1,0,"283"
"13",CRS3035RES1000mN2221000E4006000,"1","83069",150.5,77.4,12.7,37.4,3.7,45,4.7,4125495.6,7057.7,37.5,39.9,15.8,8.7,24.7,28.2,0,0,6.7,1.1,6.7,7.7,11.3,11.9,35.5,19.6,37.3,12.7,0,"283"
"14",CRS3035RES1000mN2221000E4007000,"1","83069",3,1.5,0.2,0.6,0.1,0.9,0.1,86458.4,151.2,0.6,0.9,0.4,0.2,0.3,0.6,0,0,0,0,0.2,0.2,0.3,0.2,0.7,0.4,0.7,0.3,0,"283"
"15",CRS3035RES1000mN2222000E4002000,"0","83069",93,46,6,17.9,1,28,2,2437460.4,3575,2,44,2,30.9,7,6.1,0,0,4,4,4,2,7,12,12.1,14,26.9,7,0,"283"
"16",CRS3035RES1000mN2222000E4003000,"0","83069",362,183,22,68.9,6.1,108.1,24.1,9176008.2,13996,52,131,17.9,54.1,52.9,58.1,0,0,10.5,7,11,18.5,26,46.9,61,63.1,92,26,0,"283"
"17",CRS3035RES1000mN2222000E4004000,"0","83069",418,220.1,37.1,91.9,4,120.7,27.1,10558288.3,18920.9,103.2,116.9,33.9,64.9,76.1,41.2,4,29,9.1,5,16.3,25.7,26,37.9,83.1,59,116,39.9,0,"283"
"18",CRS3035RES1000mN2222000E4005000,"0","83069",856,425.9,63.1,194.1,21,145.1,56,19867165.4,28007.9,328.9,97,25,109.8,160.1,131,0,65,32,26.9,49.4,69.4,42.7,174.1,189.2,107.2,119.1,46,0,"283"
"19",CRS3035RES1000mN2222000E4006000,"0","83069",290.5,143.9,7,51.9,2,90,12,7857287.9,11336,52,91.9,12.1,16,46,67.9,1.9,0,2,2.1,10,16.1,17.5,36,51.9,48,79.9,27,0,"283"
"20",CRS3035RES1000mN2222000E4007000,"1","83069",1,0.5,0.1,0.2,0,0.4,0.1,32952.6,73.4,0.2,0.3,0,0.2,0.1,0.2,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.3,0,0.1,"283"
"21",CRS3035RES1000mN2223000E4002000,"1","83069",24,12.2,0.8,5.7,0,8.9,0.8,656369.3,1128.4,2.4,9.8,4.1,2.4,4.8,0.9,0,0,1.7,0,1.2,0,2.4,1.7,3.3,4.8,6.5,2.4,0,"283"
"22",CRS3035RES1000mN2223000E4003000,"1","83069",5.5,2.8,0.2,1.3,0,2.1,0.2,150418,258.6,0.6,2.2,0.9,0.6,1.1,0.2,0,0,0.4,0,0.3,0,0.5,0.4,0.7,1.1,1.5,0.6,0,"283"
"23",CRS3035RES1000mN2223000E4004000,"0","83069",22.5,11,2,3,0,5,3,619847,959,2,9,2,3,3,2,1,0,0,0,5,0.5,1,2,4,1,5,4,0,"283"
"24",CRS3035RES1000mN2223000E4005000,"0","83069",125.5,63.9,9,32.9,2,28,6,3008821.2,4617,31,32.9,1,11,41.9,10,0,18,4,0,9.5,9,7,13,27.9,18.1,28,9,0,"283"
"25",CRS3035RES1000mN2223000E4006000,"1","83069",191,106.5,17.9,50.9,1,64.7,8.9,5186122.1,8457.6,73.7,32.8,0,43.8,11.9,50.8,0,0,4.5,2,4.5,8,8.9,31.8,40.8,27.9,47.7,13,1.9,"283"
"26",CRS3035RES1000mN2224000E4006000,"0","83069",60.5,34,5.9,20,1,14.9,2.9,1465069,2174.9,23,11,2,20.1,0,11.9,0,0,1,2,3.6,4.9,1,6.9,22.1,10.9,6.1,2,0,"283"
"27",CRS3035RES1000mN2225000E4006000,"0","83069",322,165,12.9,71,4,106,11.9,8398668.2,12304,69.1,95.9,39.9,69.2,16,38.9,1,4,4,6,15.4,25.5,12.9,35,76.1,46.9,70.1,30.1,0,"283"
"28",CRS3035RES1000mN2226000E3979000,"0","83129",70,27.1,3.9,3.9,3.9,20.1,7,1931684.8,2768.9,0.9,26.2,9.2,10.1,3.9,3.9,0,0,0.8,1,3.9,3.1,4.8,7,17.1,12.2,16.2,3.9,0,"283"
"29",CRS3035RES1000mN2226000E3980000,"1","83129",1,0.4,0.1,0.1,0.1,0.3,0,23380.4,39.1,0,0.4,0,0.1,0.1,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0,"283"
"30",CRS3035RES1000mN2226000E3983000,"1","83126",2,0.7,0,0.1,0,0.6,0.1,67455.8,94.4,0.1,0.6,0.1,0,0.5,0.1,0,0,0,0,0.1,0.2,0.3,0.2,0.3,0.3,0.5,0.1,0,"283"
"31",CRS3035RES1000mN2226000E3987000,"0","83153",126.5,75,10,40,1,53,4,3429332.6,4750,50,25,0,18,46,11,0,0,4,1,2,2.5,8,14,25.9,16,41.1,12,0,"283"
"32",CRS3035RES1000mN2226000E4006000,"0","83069",250.5,139.9,25.9,76,4,73,15,6936990,11576,79.9,60,2,103,17,16.9,1,0,1,3,7.8,14.6,22,38.1,41,42,58,23,0,"283"
"33",CRS3035RES1000mN2226000E4007000,"1","83069",12,5.9,0.8,1.3,0,2.1,2.1,246688.8,484.5,4.8,1.1,0,2.1,1.6,2.2,0,0,0.5,0.3,1,0.8,0.3,2.4,1.9,1.6,2.1,1.1,0,"283"
"34",CRS3035RES1000mN2227000E3977000,"0","83129",27,14,3,6,0.9,10,0,819407.2,1726,3.1,10.9,0.9,8.1,4.1,0.9,0,0,0,0,0,2,3,0.9,4,4.1,10.9,2.1,0,"283"
"35",CRS3035RES1000mN2227000E3978000,"0","83129",301,128,15,28.1,10.1,111,11.8,9228810.8,15233,19,109,12.1,48.9,43,22,2,0,3.1,4.2,12.9,33.8,11.9,23.1,53.9,41,81.1,36,0,"283"
"36",CRS3035RES1000mN2227000E3979000,"0","83129",291.5,126.2,15.9,26.2,3,97.2,16,8354016.6,14043,21.1,105.1,18.1,36,31.6,38.9,1.6,0,3.1,2,5.8,15.6,29.3,32.8,51.9,54.3,77,18.7,1,"283"
"37",CRS3035RES1000mN2227000E3980000,"1","83129",137,53.6,9.8,16.6,7.3,41,5.9,3203109.3,5361.9,3.8,49.8,4.8,12.8,16.8,19.2,0,0,1.9,2.7,10,8,8.2,14.9,34.8,17.9,27.6,11,0,"283"
"38",CRS3035RES1000mN2227000E3982000,"1","83126",206.5,81.2,5,16,4,67.4,6,6163034,9311.6,20.1,61.1,9.8,0,55.4,15,1,0,2.8,2,13.4,17,14.7,10.8,46.6,26.6,54.7,17.9,0,"283"
"39",CRS3035RES1000mN2227000E3983000,"0","83126",352.5,162.1,15,46.9,4.9,131,8.9,10111812.1,16146.9,43,119.1,25.1,35,70,32,0,0,2.9,1,12.6,20.4,19.4,35,72.9,61.1,94.1,33.1,0,"283"
"40",CRS3035RES1000mN2227000E3984000,"0","83126",1102,543,47,207,11,397.9,48,31356453.5,45069,235,308,59,100.9,236,147.1,0,0,28.5,14.5,41,65.9,67,165,187,194,278.1,60,1,"283"
"41",CRS3035RES1000mN2227000E3985000,"0","83126",23,11,1,6,1,5,0,611458.5,1094,4,7,3,6,1,1,0,0,0,0,0,2,5,0,2,8,5,1,0,"283"
"42",CRS3035RES1000mN2227000E3986000,"0","8315383126",391.5,245.9,36,148,4,139,17,8994472.5,13232,171,74.9,18.9,45,178,4,0,0,7,0,11.5,15.9,20,54,68,59.1,111,45,0,"283"
"43",CRS3035RES1000mN2227000E3987000,"0","83153",1639.5,980,139,552,18,562,86,38257786.3,55845,715,265,16,74,806,84,0,72,31,24.5,59.5,83,72.5,219.9,282.1,257,432,178,0,"283"
"44",CRS3035RES1000mN2227000E3988000,"0","83153",1386,722.9,91,313.2,18.1,435,72.1,34909724.8,53161.1,447,275.9,129,231,245,117.9,0,56,37.5,19.1,72.1,84.4,64.9,171.1,226,223,337.9,150,0,"283"
"45",CRS3035RES1000mN2227000E3989000,"0","83153",647,304,34,121,15,172,30,15588579.9,20413,225.1,78.9,7,36,182,79,0,18,21,21,46.5,54.5,45,106,144.1,67,112.9,28,1,"283"
"46",CRS3035RES1000mN2227000E3996000,"1","83098",2,0.9,0.1,0.3,0.1,0.7,0.1,65618.2,93.1,0.4,0.5,0.2,0,0.6,0.1,0,0,0,0,0.1,0.2,0.2,0.2,0.4,0,0.8,0.1,0,"283"
"47",CRS3035RES1000mN2227000E3997000,"1","8303483098",68,31.1,1,8.8,1,24.3,1,2443813,3305.9,6.7,24.4,2.9,0.9,26.3,1,0,0,1,1,1.4,3.3,6.7,7.7,8.7,6,22.3,9.9,0,"283"
"48",CRS3035RES1000mN2227000E3998000,"0","83034",38,19,3.1,3.1,0,15.1,3.9,1006732.7,1887,1.1,17.9,0.8,5.1,6,7.1,0,0,0,0.8,0,0,1.1,5.9,6,6.1,13,5.1,0,"283"
"49",CRS3035RES1000mN2227000E3999000,"0","83034",28,17,0.9,9,0,9,0.9,856429.8,1498.9,2.1,14.9,0,8,8,1,0,0,0.9,0,0,0,2.1,2.1,2.9,5,12.9,2.1,0,"283"
"50",CRS3035RES1000mN2227000E4000000,"1","83034",3,1.3,0.1,0.4,0.1,0.9,0.2,80721.7,119.3,0.2,1.1,0.2,0.2,0.4,0.4,0.1,0,0.2,0.1,0.2,0.4,0.1,0.3,0.4,0.3,0.7,0.3,0,"283"
"51",CRS3035RES1000mN2227000E4002000,"0","83034",56,30,3,13,0,19,2,1804421.5,3126,15,15,7,15,1,7,0,0,2,1,1,2,4,7,11,11,10,7,0,"283"
"52",CRS3035RES1000mN2227000E4003000,"1","8306983034",74,26.7,3,6.7,3,10.1,4.8,1926808,2792.7,13.8,12.9,2.7,12.8,4.7,5.7,0.8,0,2.8,0.9,5.3,12.2,6.9,9.6,13.7,8.6,10.3,3.7,0,"283"
"53",CRS3035RES1000mN2227000E4004000,"0","83069",215,114.9,18.9,58.1,4,59.1,13.1,5576228.9,7963.9,73,41.9,25.1,41.7,30.1,17,1,0,12.1,3,8.1,11,13.8,39,45,29.8,34.1,19.1,0,"283"
"54",CRS3035RES1000mN2227000E4005000,"0","83069",71.5,33,6.9,10,1,19.9,4.9,1723711.8,2789,15,18,9.1,12.9,2,8,1,0,3,1.6,2.5,6.4,0,12,14,12.9,16.1,3,0,"283"
"55",CRS3035RES1000mN2227000E4006000,"1","83069",141,77.2,10.2,31.6,0,32.8,8.8,2995964.6,5243.4,60.2,17,7,44.8,9.4,16,0,0,6.4,0.8,5.9,6.2,4.8,23.6,31.1,16.4,28.8,17,0,"283"
"56",CRS3035RES1000mN2227000E4007000,"0","83069",922.5,591,82,369.1,12,242,47.9,21428119.9,32181,569,22,1.9,24,354,197.1,14,81,22.5,5,26,38,45,161,160.9,142.1,245,77,0,"283"
"57",CRS3035RES1000mN2227000E4021000,"1","83019",4,1.7,0.2,0.8,0.3,0.6,0.2,149401.2,384.3,0.6,1.1,0,0.3,0,1.1,0.3,0,0.1,0.3,0.5,0.1,0.3,0.6,0.8,0.5,0.2,0.6,0,"283"
"58",CRS3035RES1000mN2227000E4022000,"1","83019",3,1.3,0.1,0.6,0.2,0.5,0.1,112050.9,288.2,0.5,0.8,0,0.2,0,0.8,0.3,0,0.1,0.2,0.3,0.1,0.2,0.5,0.6,0.4,0.1,0.5,0,"283"
"59",CRS3035RES1000mN2227000E4023000,"1","83019",4,1.6,0,0.8,0.4,0.8,0,149401.2,384.4,0.4,1.2,0,0.4,0,0.8,0.4,0,0,0.4,0.4,0,0.4,0.8,0.8,0.4,0,0.8,0,"283"
"60",CRS3035RES1000mN2227000E4024000,"1","83019",11,5.5,1.1,2.2,0,4,0.8,290204.2,1065.2,0,5.5,0,1.8,2.3,1.4,0,0,0.4,0,0.1,1,0.4,0.4,1.8,0.8,5,1.1,0,"283"
"61",CRS3035RES1000mN2228000E3977000,"0","83129",24,11,0,2,0,6,1,660347.3,856,5,6,5,2,0,4,0,0,0,0,1,1,2,1,6,4,5,4,0,"283"
"62",CRS3035RES1000mN2228000E3978000,"0","83129",1139.5,638,76,303,9,374,59,28400362.1,46870,386,252,85,200,243,109,1,0,19,17,28,71.5,45,149,205,167,300,136,2,"283"
"63",CRS3035RES1000mN2228000E3979000,"0","83129",1577.5,728,72,216,33,604,58,47333507.5,74247,139,589,30,133,336,229,0,0,25.5,13,50.5,106.5,108,123,301,265,415,170,0,"283"
"64",CRS3035RES1000mN2228000E3980000,"0","83129",619,254.9,28.1,66,14.8,203,23,17679056.8,24805.8,27.9,227,28.9,49.2,90,85.8,1,0,24,9.8,36.4,54.3,33.1,96.1,123.1,104.2,103,35,0,"283"
"65",CRS3035RES1000mN2228000E3981000,"0","8312983126",316,123,12.1,34.1,12,97,3.9,8549173.6,12844.1,16,107,3.1,22.8,45.1,52,0,0,12.1,8,16,21,31,45.1,65,47.8,49.9,20.1,0,"283"
"66",CRS3035RES1000mN2228000E3982000,"0","8312683129",1481,620,47,141,34,505.9,46.9,39732466.9,59410.2,128,492,11.9,45,419,144.1,0,0,45.9,23.1,69.9,103.5,79.5,174.1,290,177,374,143,1,"283"
"67",CRS3035RES1000mN2228000E3983000,"0","83126",1442,607,47,136,33,533,42,39197391.3,58516,90,517,35,78,257,237,0,0,35,15,67,104.5,92.5,161,274,266,301,126,0,"283"
"68",CRS3035RES1000mN2228000E3984000,"0","83126",4254.5,1976,212,660,71,1385,203,103019213.8,154179,1084,892,156,371,605,842,2,96,124.5,88,212,323.5,255.5,598,811,604,884,350,4,"283"
"69",CRS3035RES1000mN2228000E3985000,"0","83126",4008,2295,275,1160,31,1263,246,93304506.9,141870,1922,373,191,788,729,587,0,66,137,50,143.6,224.1,189.5,644,662.9,551,913.9,491,1,"283"
"70",CRS3035RES1000mN2228000E3986000,"0","8312683153",555,321,54,162,4,207,27,12865806.4,21116,192,129,61,51,178,31,0,0,4.5,5,23,13.5,26,61,91,100,169,61,1,"283"
"71",CRS3035RES1000mN2228000E3986000,"0","8312683153",555,321,54,162,4,207,27,12865806.4,21116,192,129,61,51,178,31,0,0,4.5,5,23,13.5,26,61,91,100,169,61,1,"283"
"72",CRS3035RES1000mN2228000E3987000,"0","83153",57,26,2,5,1.1,23,2,1769620.8,3724,3.9,22.1,1.1,3.9,17,4,0,0,1.1,0,0,3.9,4,2,10,7.9,18.1,10,0,"283"
"73",CRS3035RES1000mN2228000E3988000,"1","83153",595.5,324.1,49.7,151.7,6.7,148.1,33.5,14198790.9,21781.5,230.5,93.6,83,106.4,94.9,39.8,0,5.7,18.5,4.8,25.5,41.1,26.7,68,104.6,99.6,147.5,59.2,0,"283"
"74",CRS3035RES1000mN2228000E3988000,"1","83153",595.5,324.1,49.7,151.7,6.7,148.1,33.5,14198790.9,21781.5,230.5,93.6,83,106.4,94.9,39.8,0,5.7,18.5,4.8,25.5,41.1,26.7,68,104.6,99.6,147.5,59.2,0,"283"
"75",CRS3035RES1000mN2228000E3989000,"1","83153",11,4.9,0.3,1.3,0.3,1.8,0.5,271028.7,394.5,2.6,2.3,0,1.5,3.1,0.3,0,0.3,0.5,0.3,0.5,0.9,0.7,2.1,2.3,2.3,0.6,0.8,0,"283"
"76",CRS3035RES1000mN2228000E3995000,"1","83098",6,2.8,0.5,1,0.1,1.8,0.1,183686.6,358.4,0.5,2.3,0.7,1,0.8,0.3,0,0,0.2,0,0.2,0.5,0.4,0.7,0.9,1.3,1.4,0.4,0,"283"
"77",CRS3035RES1000mN2228000E3996000,"0","83098",740,348.9,33,115.1,12.9,260.1,32.9,22024186.3,32357.1,104,244.9,69,96.8,84.1,95,4,0,13,10.6,25.1,54.9,48.4,90,147.1,108.1,192.9,49.9,0,"283"
"78",CRS3035RES1000mN2228000E3997000,"0","8309883034",342,144,7.9,23.9,9,124,12.9,11182285.4,16203,17,127,7,29,73,35,0,0,6.5,4.5,17.1,17.1,29.9,25.9,52,67,85.9,36.1,0,"283"
"79",CRS3035RES1000mN2228000E3998000,"0","8303483098",35,17.9,3.1,9,1.1,12.9,0,798688.4,1837.1,7.8,10.1,1.1,3.9,5.1,7.8,0,0,1.9,1.1,0,1.1,1.1,2.1,7.8,5.9,9,5,0,"283"
"80",CRS3035RES1000mN2228000E3999000,"0","83034",324,134.1,13.9,29.4,4,101.8,13.2,8834373.1,14596.1,17.2,116.9,10.2,34.9,24.9,62,2.1,0,3.9,6.1,16.5,21,26.8,25.9,70.7,53.1,76.1,23.9,0,"283"
"81",CRS3035RES1000mN2228000E4000000,"0","83034",2260.5,1195,153,512,23,668,119,58886904.3,93272,754,441,63,199,523,408,2,121,50.5,22.5,77,125,129.5,272,364,331,606,282,1,"283"
"82",CRS3035RES1000mN2228000E4001000,"0","83034",1036,595.1,65,302,10.9,315,68,26517876.5,39615,506.2,88.9,11.1,158,186,237,3,37,25.4,8.5,35.4,61,52.5,136.9,198.9,128.1,238.2,151.1,0,"283"
"83",CRS3035RES1000mN2228000E4002000,"0","83034",692.5,319.1,21,97.1,13,240.2,16,23196710.7,37105.1,89.1,230,17,116.1,85.9,99.1,1,0,10,3,20.6,38,53.9,60.9,117,143,192,54.1,0,"283"
"84",CRS3035RES1000mN2228000E4003000,"0","8306983034",640.5,297,17.9,90,12.1,244.9,21.2,22740651.7,34418.9,89.2,207.8,7.1,53.9,156.1,78,1.9,0,12.1,5.9,14.9,32.4,38.9,62,108,105.1,203.1,55.1,3,"283"
"85",CRS3035RES1000mN2228000E4004000,"0","83069",942,430,35.9,125,14.9,329.9,33.9,27590595.2,42251,115.9,314.1,18.9,7.1,209.1,193,1.9,38,17.5,6.9,31.6,61.5,82.1,94.8,170.6,148.9,263.1,64,1,"283"
"86",CRS3035RES1000mN2228000E4005000,"0","83069",421,184.3,21.1,53,5.8,131.7,13.5,10990084.5,16249.1,51.2,133.1,43.2,29.8,58.3,53,0,0,13.8,8.4,26.6,27.7,19.8,63.2,79.9,44.3,107.3,30,0,"283"
"87",CRS3035RES1000mN2228000E4006000,"1","83069",15,6.4,0.9,2,0.5,3.5,0.6,322947.6,514.9,2.8,3.6,1.6,1.4,1.5,1.4,0.5,0,0.6,0.2,0.9,1.4,0.9,1.9,2.7,2.4,2.9,1.1,0,"283"
"88",CRS3035RES1000mN2228000E4007000,"1","83069",4,1.8,0.2,0.6,0.2,1,0.2,86119.4,137.2,0.8,1,0.4,0.4,0.4,0.4,0.2,0,0.2,0,0.2,0.4,0.2,0.6,0.8,0.6,0.8,0.2,0,"283"
"89",CRS3035RES1000mN2228000E4008000,"1","83069",1,0.6,0.2,0.4,0,0.6,0,21370.3,45.7,0.1,0.5,0,0.4,0.1,0.1,0,0,0,0,0,0,0,0.2,0.1,0.1,0.4,0.2,0,"283"
"90",CRS3035RES1000mN2228000E4021000,"1","83019",13,6.5,0.7,2.2,0,4.8,0.6,305427.6,585,1.3,5.2,2.5,2,1.3,0.7,0,0,0,0.2,0.7,0.5,0.3,0.6,2.5,2.7,4.8,0.7,0,"283"
"91",CRS3035RES1000mN2228000E4022000,"1","83019",2,0.9,0,0.2,0.1,0.7,0.1,67612.1,108.7,0.1,0.8,0,0.2,0.4,0.3,0,0,0,0,0,0.1,0.1,0.4,0.2,0.4,0.6,0.2,0,"283"
"92",CRS3035RES1000mN2228000E4023000,"0","83019",56.5,29.9,3.2,11.1,1,27.1,1,1995376.9,5870.1,0,29.9,0,2.8,15.4,11.7,0,0,0,0,0.8,2.4,0,9.1,1.8,3.2,32.2,7,0,"283"
"93",CRS3035RES1000mN2228000E4024000,"1","83019",27.5,14,3,5.5,0,9.8,1.9,725510.7,2663.2,0,14,0,4.3,6.1,3.6,0,0,1.2,0,0.2,2.2,1.2,1.2,4.3,1.9,12.3,3,0,"283"
"94",CRS3035RES1000mN2229000E3978000,"0","83129",258.5,121,11,39,3,84,13,7641832.6,12350,30,91,5,67.9,34.1,14,0,0,5,4,15.5,16,16,25.9,51,39,58.1,28,0,"283"
"95",CRS3035RES1000mN2229000E3979000,"0","83129",1639,760,70,234,26,595,58,45753717,74365,150,610,19,105,390,243,3,0,34,21.5,64.5,107,114,167,291,255.9,437.1,147,0,"283"
"96",CRS3035RES1000mN2229000E3980000,"0","83129",2506.5,1121,97,306,54,813,122,66911632.1,101448,337,784,64,135,486,434,2,97,87.5,43,113.5,176,160.5,348,426,377,565,210,0,"283"
"97",CRS3035RES1000mN2229000E3981000,"0","83129",4841.5,2361,338,939,110,1069,355,109276893.7,171143,1585,776,189,566,505,1100,1,576,170.5,83.5,248,383.5,327,747,976,653,826,425,2,"283"
"98",CRS3035RES1000mN2229000E3982000,"0","8312983126",2741,1294,185,496,51,821,116,66565271.9,98209,661,633,111,210.9,641.1,329,2,140,83.4,41,146,196,163.5,380,534,408,541.1,247,1,"283"
"99",CRS3035RES1000mN2229000E3983000,"0","83126",1878,787,65,184,38,610,69,49085158.3,71486,204,583,67,112,259,348,1,0,71.5,40,99.5,148.5,121.5,305,360,284,350,98,0,"283"
"100",CRS3035RES1000mN2229000E3984000,"0","83126",3335.5,1525,217,508,64,981,198,78410706.6,125327,758,767,204,363,622,331,5,237,98,62.5,173.5,289.5,211,498,662,479,601,259,2,"283"
"101",CRS3035RES1000mN2229000E3985000,"0","83126",3086,1398,115.1,434,63,1056,149.1,77343827.5,114206,729.9,668.1,126,261.1,617.9,393,0,56,74,43,151.5,254.5,206.9,379,607.1,473.9,664,225.1,7,"283"
"102",CRS3035RES1000mN2229000E3986000,"0","83126",1571.5,932.9,109,509,16,593,80.9,40406298.9,58394.9,788.9,144,90,107,526.9,207,2,0,48,15.4,45.5,78,91.4,228.1,301,267,396,101.1,0,"283"
"103",CRS3035RES1000mN2229000E3987000,"0","83126",43,17.9,1,3.9,1,14,0,1394054.7,2676.9,2.9,15,9,2.9,6,0,0,0,0,0,0,1,3.9,8,6,6,17.1,1,0,"283"
"104",CRS3035RES1000mN2229000E3995000,"1","83098",6,2.7,0.4,0.9,0.1,1.8,0.1,183686.6,358.4,0.5,2.2,0.7,0.9,0.8,0.3,0,0,0.2,0,0.2,0.4,0.4,0.7,0.9,1.4,1.4,0.4,0,"283"
"105",CRS3035RES1000mN2229000E3996000,"0","83098",524.5,264.9,29.2,95,5,174,20,15910793.7,23703,114.8,150.1,20.1,63.9,119.9,61,0,0,7.7,7,22,19,37.8,54,104,87,142.1,43.9,0,"283"
"106",CRS3035RES1000mN2229000E3997000,"0","83098",402,180.8,19.9,43,4,152,16.9,11814633.1,19554.9,19,161.8,31,18.4,79.1,52.3,0,0,8.1,2.9,18.3,23.5,20,35.3,59,84.2,108.9,41.8,0,"283"
"107",CRS3035RES1000mN2229000E3998000,"0","8309883034",66,26.9,5.3,6.1,2.3,17.9,5.3,1888140.7,2844.8,6.1,20.8,5.3,4,7.9,9.7,0,0,2,0,3.4,3.6,7.7,13.2,12.1,13.2,10.8,0,0,"283"
"108",CRS3035RES1000mN2229000E3999000,"0","83034",300,128.8,9.9,33,6.3,92.7,17,8646318.2,13250.4,43.3,85.5,6,31.8,33.8,54.3,2.9,0,4.3,2,13.8,20.4,25.9,31,67.7,47,78.9,9,0,"283"
"109",CRS3035RES1000mN2229000E4000000,"0","83034",2602,1299,146,505,35,731,164,66507332.7,101406,793,506,165,196,489,446,3,69,66,49.5,111,167.5,179,352.9,483,398,533,261.1,1,"283"
"110",CRS3035RES1000mN2229000E4001000,"0","83034",991.5,454,35,138.9,15.9,350,29,29212874,47109.9,136,318,38.8,58.9,108.3,247,1,0,13.1,7.1,40,64.4,82,93,188,160,247.9,96,0,"283"
"111",CRS3035RES1000mN2229000E4002000,"0","8303483069",167,72,3,17.1,2.1,60.1,4.9,5543179.1,9597,7,65,1.9,19.1,32.1,16.9,2,0,4.1,1.1,5,12.1,11,16,24.9,30,42,20.8,0,"283"
"112",CRS3035RES1000mN2229000E4003000,"0","8306983034",735,328.9,20,89,10.9,272.9,30.9,21920953.5,33689.9,100.9,228,2,11.9,237,78,0,0,11,13.8,30.5,51.4,43,94,134,120.1,191.1,46.1,0,"283"
"113",CRS3035RES1000mN2229000E4004000,"0","83069",748,331.8,21.9,83.1,10.9,274.2,21.9,22605541.7,35240,52.9,278.9,27.6,32.3,182.8,89.1,0,0,27,7.9,19.9,35.1,42.9,87.9,103.1,137.2,224.1,62.9,0,"283"
"114",CRS3035RES1000mN2229000E4005000,"0","83069",1027.5,463,36,155.8,22.8,313.1,46.2,27347892.5,39093.9,188,275,54.9,71.8,202.2,132.1,2,0,21.7,23.8,46.9,76.1,81.5,126,238.1,149.2,191.1,73.1,0,"283"
"115",CRS3035RES1000mN2229000E4006000,"1","83069",102,43.7,5.7,14.1,3.4,23.8,4,2196043.6,3500.9,19,24.7,11.4,9,10.7,9.2,3.4,0,4.1,1.4,5.9,9.2,5.9,13.1,18.8,16.4,19.7,7.5,0,"283"
"116",CRS3035RES1000mN2229000E4007000,"1","83069",3,1.3,0.2,0.4,0.1,0.7,0.1,64589.5,103,0.6,0.7,0.3,0.3,0.3,0.3,0.1,0,0.1,0,0.2,0.3,0.2,0.4,0.5,0.5,0.6,0.2,0,"283"
"117",CRS3035RES1000mN2229000E4008000,"0","83069",575,298,43,128,9.9,172.9,34.9,14808905,22979.9,141.2,156.8,19.9,167.1,87,24,0,0,10,7.1,18.9,43.6,44.4,41,121,99.9,120.1,69,0,"283"
"118",CRS3035RES1000mN2229000E4009000,"1","83069",24,15.4,3.8,9.6,0,13.4,0,512887.6,1096.3,3.9,11.5,0,10.6,1.9,2.9,0,0,1,0,0,0,0,4.8,1.9,1,9.6,5.7,0,"283"
"119",CRS3035RES1000mN2229000E4020000,"1","83019",7,3.5,0.4,1.2,0,2.5,0.3,164461,315,0.7,2.8,1.3,1.1,0.7,0.4,0,0,0,0.1,0.4,0.3,0.2,0.3,1.4,1.4,2.5,0.4,0,"283"
"120",CRS3035RES1000mN2229000E4021000,"1","83019",32,16,1.9,5.6,0,11.8,1.1,751821.6,1440,3.1,12.9,6.1,4.9,3.1,1.9,0,0,0,0.6,1.8,1.1,0.6,1.3,6.1,6.8,11.8,1.9,0,"283"
"121",CRS3035RES1000mN2229000E4022000,"1","83019",30,13.2,0,2.9,1.1,10.3,1.1,1014181.7,1630.3,1.1,12.1,0,2.9,5.6,4.7,0,0,0.7,0,0,1.1,1.1,5.5,3.6,5.8,9.3,2.9,0,"283"
"122",CRS3035RES1000mN2229000E4023000,"0","83019",98,53,11.3,20,1.2,40.1,5.3,3108017.5,5250.1,7.9,45.1,0,28.2,18.9,5.9,0,0,0.7,1.8,1.8,7.1,2,2.2,15.2,12.9,38,15.1,1.2,"283"
"123",CRS3035RES1000mN2229000E4024000,"1","83019",6.5,3.3,0.7,1.3,0,2.3,0.4,171484.3,629.5,0,3.3,0,1,1.4,0.9,0,0,0.3,0,0.1,0.5,0.3,0.3,1,0.4,2.9,0.7,0,"283"
"124",CRS3035RES1000mN2229000E4024000,"1","83019",6.5,3.3,0.7,1.3,0,2.3,0.4,171484.3,629.5,0,3.3,0,1,1.4,0.9,0,0,0.3,0,0.1,0.5,0.3,0.3,1,0.4,2.9,0.7,0,"283"
"125",CRS3035RES1000mN2230000E3979000,"0","83129",1411,881,88.9,500.1,5.9,518,69.9,35180395.9,43146.9,776,105,6,20.1,466,386,2.9,0,20.9,17.5,40,57.1,72.4,163,290,243,402.1,105,0,"283"
"126",CRS3035RES1000mN2230000E3980000,"0","83129",3734,1898,241,783,49,1149,241,87823088.9,134366,1175,723,117,384,772,623,2,114,107.5,70.5,162.5,261.5,218,637,697,510,712,357,1,"283"
